Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,gender,age,disease state,tissue,GEO Accession
SRR8438177,17920395,896019750,50,305,SRX5245644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247991,SAMN10737076,simple,10090,Mus musculus,GSM3561145,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.3,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561152
SRR8438178,21368702,1068435100,50,363,SRX5245645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247992,SAMN10737075,simple,10090,Mus musculus,GSM3561146,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.4,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561153
SRR8438179,21379848,1068992400,50,363,SRX5245645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247992,SAMN10737075,simple,10090,Mus musculus,GSM3561146,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.4,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561154
SRR8438180,19583158,979157900,50,333,SRX5245646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247993,SAMN10737074,simple,10090,Mus musculus,GSM3561147,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.1,Proximal tubule,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561155
SRR8438181,19530904,976545200,50,330,SRX5245646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247993,SAMN10737074,simple,10090,Mus musculus,GSM3561147,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.1,Proximal tubule,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561156
SRR8438182,13434972,671748600,50,231,SRX5245647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247994,SAMN10737073,simple,10090,Mus musculus,GSM3561148,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.2,Proximal tubule,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561157
SRR8438183,13562741,678137050,50,232,SRX5245647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247994,SAMN10737073,simple,10090,Mus musculus,GSM3561148,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.2,Proximal tubule,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561158
SRR8438184,14474325,723716250,50,248,SRX5245648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247995,SAMN10737072,simple,10090,Mus musculus,GSM3561149,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.3,Proximal tubule,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561159
SRR8438185,14504215,725210750,50,247,SRX5245648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247995,SAMN10737072,simple,10090,Mus musculus,GSM3561149,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.3,Proximal tubule,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561160
SRR8438186,18709196,935459800,50,320,SRX5245649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247996,SAMN10737071,simple,10090,Mus musculus,GSM3561150,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.4,Proximal tubule,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561161
SRR8438187,18889994,944499700,50,321,SRX5245649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247996,SAMN10737071,simple,10090,Mus musculus,GSM3561150,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D10UUO.Total.4,Proximal tubule,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561162
SRR8438188,20120357,1006017850,50,338,SRX5245650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247997,SAMN10737070,simple,10090,Mus musculus,GSM3561151,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.1,Total kidney,female,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561163
SRR8438189,20171586,1008579300,50,339,SRX5245650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247997,SAMN10737070,simple,10090,Mus musculus,GSM3561151,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.1,Total kidney,female,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561164
SRR8438190,12864283,643214150,50,218,SRX5245651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247998,SAMN10737069,simple,10090,Mus musculus,GSM3561152,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.2,Total kidney,female,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561165
SRR8438191,12753928,637696400,50,216,SRX5245651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247998,SAMN10737069,simple,10090,Mus musculus,GSM3561152,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.2,Total kidney,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561166
SRR8438192,23472249,1173612450,50,394,SRX5245652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247999,SAMN10737114,simple,10090,Mus musculus,GSM3561153,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.3,Total kidney,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561167
SRR8438193,23753435,1187671750,50,399,SRX5245652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247999,SAMN10737114,simple,10090,Mus musculus,GSM3561153,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.3,Total kidney,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561168
SRR8438194,21186249,1059312450,50,359,SRX5245653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248000,SAMN10737113,simple,10090,Mus musculus,GSM3561154,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.4,Total kidney,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561169
SRR8438195,21271851,1063592550,50,361,SRX5245653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248000,SAMN10737113,simple,10090,Mus musculus,GSM3561154,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.CLK.PT.4,Total kidney,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561170
SRR8438196,18093643,904682150,50,305,SRX5245654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248001,SAMN10737112,simple,10090,Mus musculus,GSM3561155,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.1,Total kidney,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561171
SRR8438197,18000137,900006850,50,304,SRX5245654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248001,SAMN10737112,simple,10090,Mus musculus,GSM3561155,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.1,Proximal tubule,female,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561172
SRR8438198,15796188,789809400,50,265,SRX5245655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248002,SAMN10737111,simple,10090,Mus musculus,GSM3561156,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.2,Proximal tubule,female,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561173
SRR8438199,16027184,801359200,50,269,SRX5245655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248002,SAMN10737111,simple,10090,Mus musculus,GSM3561156,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.2,Proximal tubule,female,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561174
SRR8438200,13929128,696456400,50,236,SRX5245656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248003,SAMN10737110,simple,10090,Mus musculus,GSM3561157,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.3,Proximal tubule,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561175
SRR8438201,13890704,694535200,50,236,SRX5245656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248003,SAMN10737110,simple,10090,Mus musculus,GSM3561157,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.3,Proximal tubule,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561176
SRR8438202,17791596,889579800,50,305,SRX5245657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248004,SAMN10737109,simple,10090,Mus musculus,GSM3561158,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.4,Proximal tubule,female,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Proximal tubule,GSM3561177
SRR8438203,17789097,889454850,50,303,SRX5245657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248004,SAMN10737109,simple,10090,Mus musculus,GSM3561158,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D5UUO.PT.4,Proximal tubule,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561178
SRR8438204,17663783,883189150,50,300,SRX5245658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248005,SAMN10737108,simple,10090,Mus musculus,GSM3561159,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.1,Proximal tubule,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561179
SRR8438205,17590654,879532700,50,297,SRX5245658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248005,SAMN10737108,simple,10090,Mus musculus,GSM3561159,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.1,Proximal tubule,female,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Proximal tubule,GSM3561180
SRR8438206,18308515,915425750,50,312,SRX5245659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248007,SAMN10737107,simple,10090,Mus musculus,GSM3561160,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.2,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561139
SRR8438207,18319848,915992400,50,310,SRX5245659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248007,SAMN10737107,simple,10090,Mus musculus,GSM3561160,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.2,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561140
SRR8438208,13240424,662021200,50,226,SRX5245660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248006,SAMN10737106,simple,10090,Mus musculus,GSM3561161,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.3,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561141
SRR8438209,13267367,663368350,50,225,SRX5245660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248006,SAMN10737106,simple,10090,Mus musculus,GSM3561161,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.3,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561142
SRR8438210,44289217,2214460850,50,754,SRX5245661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248008,SAMN10737105,simple,10090,Mus musculus,GSM3561162,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.4,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561143
SRR8438211,44144957,2207247850,50,746,SRX5245661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248008,SAMN10737105,simple,10090,Mus musculus,GSM3561162,GEO,SRA834299,09,2019,Wu,Proximal tubule,Male.D10UUO.PT.4,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561144
SRR8438212,16187194,809359700,50,274,SRX5245662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248009,SAMN10737104,simple,10090,Mus musculus,GSM3561163,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.1,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561145
SRR8438213,16089106,804455300,50,272,SRX5245662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248009,SAMN10737104,simple,10090,Mus musculus,GSM3561163,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.1,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561146
SRR8438214,13244736,662236800,50,224,SRX5245663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248010,SAMN10737103,simple,10090,Mus musculus,GSM3561164,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.2,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561147
SRR8438215,13194675,659733750,50,223,SRX5245663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248010,SAMN10737103,simple,10090,Mus musculus,GSM3561164,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.2,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561148
SRR8438216,10589157,529457850,50,189,SRX5245664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248011,SAMN10737102,simple,10090,Mus musculus,GSM3561165,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.3,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561149
SRR8438217,10393130,519656500,50,185,SRX5245664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248011,SAMN10737102,simple,10090,Mus musculus,GSM3561165,GEO,SRA834299,09,2019,Wu,Total kidney,Female.CLK.Total.3,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561150
SRR8438218,14149734,707486700,50,246,SRX5245665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248012,SAMN10737101,simple,10090,Mus musculus,GSM3561166,GEO,SRA834299,09,2019,Wu,Total kidney,Female.D5UUO.Total.1,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561151
SRR8438219,14391601,719580050,50,250,SRX5245665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248012,SAMN10737101,simple,10090,Mus musculus,GSM3561166,GEO,SRA834299,09,2019,Wu,Total kidney,Female.D5UUO.Total.1,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561152
SRR8438220,13639712,681985600,50,234,SRX5245666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248013,SAMN10737100,simple,10090,Mus musculus,GSM3561167,GEO,SRA834299,09,2019,Wu,Total kidney,Female.D5UUO.Total.2,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561153
SRR8438221,13815601,690780050,50,236,SRX5245666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4248013,SAMN10737100,simple,10090,Mus musculus,GSM3561167,GEO,SRA834299,09,2019,Wu,Total kidney,Female.D5UUO.Total.2,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561154
